D s LL
0.01 0 -15.7915258648106
0.02 0 -14.9605247562081
0.05 0 -15.6031163816394
0.01 0.01 -15.162587108225
0.02 0.01 -14.3233131202028
0.05 0.01 -15.0336577848467
0.01 0.02 -14.5028388729593
0.02 0.02 -13.654454736979
0.05 0.02 -14.4369643628396
0.01 0.03 -13.8126661192607
0.02 0.03 -12.9542702140061
0.05 0.03 -13.8116386673083
0.01 0.04 -13.094037467278
0.02 0.04 -12.2246611448486
0.05 0.04 -13.157095300359
0.01 0.05 -12.3508869666163
0.02 0.05 -11.4695388158942
0.05 0.05 -12.4738839883717
0.01 0.06 -11.5894446136043
0.02 0.06 -10.6952586516254
0.05 0.06 -11.7640589246281
0.01 0.07 -10.8184502367102
0.02 0.07 -9.91102172366362
0.05 0.07 -11.031587712063
0.01 0.08 -10.0491817704926
0.02 0.08 -9.12919137763967
0.05 0.08 -10.2827879826117
0.01 0.09 -9.29524910631983
0.02 0.09 -8.36546266629992
0.05 0.09 -9.52677236131701
0.01 0.1 -8.57215485561534
0.02 0.1 -7.63881959536345
0.05 0.1 -8.77587260207681
