D s LL
0.01 0 -5.44143438227834
0.02 0 -5.56966495803838
0.05 0 -6.03303990110067
0.01 0.01 -5.40990926607369
0.02 0.01 -5.51080679558156
0.05 0.01 -5.93750719629727
0.01 0.02 -5.39212533033638
0.02 0.02 -5.46186157565154
0.05 0.02 -5.84675968012735
0.01 0.03 -5.38995952272052
0.02 0.03 -5.42418617990544
0.05 0.03 -5.76145551226895
0.01 0.04 -5.40553329160513
0.02 0.04 -5.39931647023851
0.05 0.04 -5.68234163087077
0.01 0.05 -5.44124053900894
0.02 0.05 -5.38898874093226
0.05 0.05 -5.61026519072115
0.01 0.06 -5.49977748024939
0.02 0.06 -5.39516304408229
0.05 0.06 -5.54618630694385
0.01 0.07 -5.58417408362471
0.02 0.07 -5.42004831558218
0.05 0.07 -5.49119219961212
0.01 0.08 -5.6978265617456
0.02 0.08 -5.46612912773396
0.05 0.08 -5.44651282309722
0.01 0.09 -5.8445301245724
0.02 0.09 -5.53619375831954
0.05 0.09 -5.41353804413206
0.01 0.1 -6.02851087264784
0.02 0.1 -5.63336308693675
0.05 0.1 -5.39383640178713
