D s LL
0.01 0 -2606.73533962919
0.02 0 -2242.48602092919
0.05 0 -1223.09885746392
0.01 0.01 -2751.28323547312
0.02 0.01 -2404.29183018847
0.05 0.01 -1399.0985918053
0.01 0.02 -2900.72194455335
0.02 0.02 -2571.84516176939
0.05 0.02 -1591.50561934596
0.01 0.03 -3054.12615170619
0.02 0.03 -2744.1794112159
0.05 0.03 -1797.13313565351
0.01 0.04 -3210.63653989761
0.02 0.04 -2920.42165045931
0.05 0.04 -2012.92395192198
0.01 0.05 -3369.5481869197
0.02 0.05 -3099.81763657253
0.05 0.05 -2236.10723978656
0.01 0.06 -3530.31734480315
0.02 0.06 -3281.71456818315
0.05 0.06 -2464.26447432448
0.01 0.07 -3692.50431364003
0.02 0.07 -3465.51744236508
0.05 0.07 -2695.32641522485
0.01 0.08 -3855.69362847606
0.02 0.08 -3650.63938599639
0.05 0.08 -2927.53178164476
0.01 0.09 -4019.42984676458
0.02 0.09 -3836.46272247514
0.05 0.09 -3159.37468727802
0.01 0.1 -4183.18997274958
0.02 0.1 -4022.32044668964
0.05 0.1 -3389.55787334275
