D s LL
0.01 0 -274116.336957453
0.02 0 -282207.119419401
0.05 0 -290990.514451714
0.01 0.01 -276088.593465333
0.02 0.01 -283494.267636908
0.05 0.01 -291422.339495208
0.01 0.02 -277871.892667476
0.02 0.02 -284643.269689623
0.05 0.02 -291828.845872846
0.01 0.03 -279481.120227135
0.02 0.03 -285666.40818191
0.05 0.03 -292207.714612585
0.01 0.04 -280929.856538024
0.02 0.04 -286577.203469205
0.05 0.04 -292556.828562157
0.01 0.05 -282229.398182617
0.02 0.05 -287388.309903624
0.05 0.05 -292875.607663523
0.01 0.06 -283391.799724798
0.02 0.06 -288108.795359766
0.05 0.06 -293162.591883098
0.01 0.07 -284427.507154656
0.02 0.07 -288746.825716338
0.05 0.07 -293416.348259961
0.01 0.08 -285347.717009149
0.02 0.08 -289309.644836961
0.05 0.08 -293637.489575601
0.01 0.09 -286162.765505501
0.02 0.09 -289802.429857166
0.05 0.09 -293825.2326355
0.01 0.1 -286879.332761824
0.02 0.1 -290229.533201147
0.05 0.1 -293979.619104402
