D s LL
0.01 0 -531.626949210434
0.02 0 -531.626949210434
0.05 0 -531.626949210434
0.01 0.01 -531.626949210434
0.02 0.01 -531.626949210434
0.05 0.01 -531.626949210434
0.01 0.02 -531.626949210434
0.02 0.02 -531.626949210434
0.05 0.02 -531.626949210434
0.01 0.03 -531.61301136421
0.02 0.03 -531.626949210434
0.05 0.03 -531.626949210434
0.01 0.04 -531.469840144797
0.02 0.04 -531.626949210434
0.05 0.04 -531.626949210434
0.01 0.05 -531.337665540551
0.02 0.05 -531.626949210434
0.05 0.05 -531.626949210434
0.01 0.06 -531.217392330638
0.02 0.06 -531.582240197684
0.05 0.06 -531.626949210434
0.01 0.07 -531.11000455943
0.02 0.07 -531.442663279361
0.05 0.07 -531.626949210434
0.01 0.08 -531.016572635411
0.02 0.08 -531.314394970174
0.05 0.08 -531.626949210434
0.01 0.09 -530.938261061155
0.02 0.09 -531.198367938688
0.05 0.09 -531.626949210434
0.01 0.1 -530.876336847705
0.02 0.1 -531.095596612179
0.05 0.1 -531.626949210434
