Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot

600,391,m2,5,1.0,1.0,60,60
600,391,m2,10,3.0,0.71875,46,64
600,2578,m1,10,3.0,0.046875,3,64
600,391,m2,6,9.0,0.047619,4,84
600,3310,m1,6,9.0,0.0119048,1,84

601,2578,m1,9,2.0,0.228571,16,70
601,391,m2,9,2.0,0.842857,59,70
601,391,m2,10,4.0,0.738636,65,88
601,2578,m1,10,4.0,0.147727,13,88
601,391,m2,3,6.0,0.52,26,50
601,391,m2,3,3.0,0.83871,52,62
601,3060,m1,3,3.0,0.0806452,5,62
601,2635,m1,3,3.0,0.177419,11,62
601,391,m2,2,7.0,0.483333,29,60
601,391,m2,7,2.0,0.961538,75,78
601,2578,m1,8,8.0,0.0535714,3,56
601,1280,m1,8,8.0,0.0714286,4,56
601,3310,m1,8,8.0,0.0178571,1,56

602,391,m2,2,7.0,0.516129,32,62
602,391,m2,9,5.0,0.923077,24,26
602,1280,m1,9,5.0,0.115385,3,26
602,391,m2,6,9.0,0.0131579,1,76
602,3310,m1,6,9.0,0.0131579,1,76
602,391,m2,7,8.0,0.102564,8,78
602,2578,m1,7,8.0,0.205128,16,78
602,1280,m1,7,8.0,0.0128205,1,78
602,3310,m1,7,8.0,0.0641026,5,78
602,3310,m1,6,8.0,0.228571,16,70
602,391,m2,6,8.0,0.0857143,6,70
602,4150,m1,7,4.0,0.05,3,60
602,391,m2,7,4.0,0.883333,53,60
602,2578,m1,7,4.0,0.133333,8,60
602,1280,m1,7,4.0,0.283333,17,60
602,391,m2,8,1.0,1.0,74,74

603,1280,m1,9,8.0,0.0571429,4,70
603,391,m2,9,8.0,0.0285714,2,70
603,3877,m1,9,8.0,0.0142857,1,70
603,4210,m1,9,8.0,0.0142857,1,70
603,391,m2,4,9.0,0.0232558,2,86
603,391,m2,3,5.0,0.875,14,16
603,3060,m1,3,5.0,0.125,2,16
603,391,m2,10,3.0,0.708333,68,96
603,2578,m1,10,3.0,0.0625,6,96
603,391,m2,4,8.0,0.327586,19,58

604,391,m2,10,3.0,0.677778,61,90
604,2578,m1,10,3.0,0.0333333,3,90
604,391,m2,7,5.0,0.965517,56,58
604,4150,m1,7,5.0,0.0344828,2,58
604,2578,m1,7,5.0,0.0517241,3,58
604,1280,m1,7,5.0,0.0344828,2,58
604,1280,m1,8,7.0,0.256757,19,74
604,391,m2,8,7.0,0.391892,29,74
604,3310,m1,8,7.0,0.0135135,1,74
604,391,m2,2,8.0,0.275862,16,58
604,391,m2,10,1.0,1.0,70,70
604,2578,m1,10,1.0,0.0285714,2,70
604,1280,m1,10,9.0,0.26,13,50
604,4226,m1,10,9.0,0.02,1,50
604,391,m2,5,3.0,0.666667,8,12
604,391,m2,8,10.0,0.0166667,1,60

605,391,m2,9,6.0,0.54,27,50
605,1280,m1,9,6.0,0.22,11,50
605,391,m2,1,9.0,0.0142857,1,70

606,391,m2,3,5.0,0.80303,53,66
606,3060,m1,3,5.0,0.0151515,1,66
606,391,m2,10,2.0,0.972222,70,72
606,2578,m1,10,2.0,0.0138889,1,72
606,1280,m1,10,9.0,0.147727,13,88
606,3877,m1,10,9.0,0.0909091,8,88
606,4226,m1,10,9.0,0.0113636,1,88
606,391,m2,8,1.0,1.0,90,90
606,391,m2,8,4.0,0.8125,39,48
606,1280,m1,8,4.0,0.291667,14,48
606,2578,m1,6,10.0,0.1,8,80
606,391,m2,6,10.0,0.025,2,80
606,1280,m1,9,9.0,0.0882353,3,34
606,391,m2,1,8.0,0.208333,20,96

607,1280,m1,9,8.0,0.25,11,44
607,391,m2,1,7.0,0.456522,21,46
607,391,m2,8,2.0,0.985294,67,68
607,391,m2,7,8.0,0.05,3,60
607,2578,m1,7,8.0,0.0666667,4,60
607,1280,m1,7,8.0,0.15,9,60
607,3310,m1,7,8.0,0.133333,8,60
607,391,m2,9,1.0,1.0,84,84
607,2578,m1,9,1.0,0.0714286,6,84

608,391,m2,4,7.0,0.588235,40,68
608,4220,m1,4,7.0,0.0588235,4,68
608,391,m2,2,5.0,0.954545,42,44
608,2635,m1,2,5.0,0.0909091,4,44
608,391,m2,3,1.0,1.0,76,76
608,391,m2,3,7.0,0.517241,30,58
608,4220,m1,3,7.0,0.0344828,2,58
608,4203,m1,3,7.0,0.0517241,3,58
608,391,m2,9,5.0,0.7,7,10
608,391,m2,6,9.0,0.0454545,2,44
608,1280,m1,10,7.0,0.261905,22,84
608,391,m2,10,7.0,0.0833333,7,84
608,2578,m1,10,7.0,0.142857,12,84
608,3877,m1,10,7.0,0.166667,14,84

609,1280,m1,9,6.0,0.236111,17,72
609,391,m2,9,6.0,0.611111,44,72

610,391,m2,3,6.0,0.8625,69,80
610,4203,m1,3,6.0,0.05,4,80
610,391,m2,3,7.0,0.625,35,56
610,4203,m1,3,7.0,0.178571,10,56
610,391,m2,5,6.0,0.791667,19,24
610,3310,m1,5,6.0,0.0833333,2,24
610,391,m2,10,5.0,0.863636,19,22
610,2578,m1,10,5.0,0.0454545,1,22
610,391,m2,8,2.0,0.954545,63,66

611,1280,m1,8,6.0,0.257143,18,70
611,391,m2,8,6.0,0.542857,38,70

612,391,m2,8,3.0,0.892857,50,56
612,1280,m1,8,3.0,0.214286,12,56
612,391,m2,4,5.0,0.857143,60,70
612,3060,m1,4,5.0,0.0428571,3,70
612,3310,m1,6,7.0,0.0735294,5,68
612,391,m2,6,7.0,0.397059,27,68

613,391,m2,3,2.0,1.0,34,34
613,2635,m1,3,2.0,0.264706,9,34
613,3060,m1,3,2.0,0.0294118,1,34
613,391,m2,10,6.0,0.487805,40,82
613,2578,m1,10,6.0,0.0731707,6,82
613,1280,m1,10,6.0,0.0731707,6,82
613,3877,m1,10,6.0,0.0365854,3,82
613,1280,m1,8,6.0,0.289474,22,76
613,391,m2,8,6.0,0.578947,44,76
613,2578,m1,8,6.0,0.0131579,1,76
613,391,m2,3,6.0,0.891892,66,74
613,4203,m1,3,6.0,0.027027,2,74
613,391,m2,6,6.0,0.947368,72,76
613,3310,m1,6,6.0,0.144737,11,76
613,1280,m1,8,8.0,0.235294,16,68
613,391,m2,8,8.0,0.0588235,4,68
613,2578,m1,8,8.0,0.0441176,3,68
613,3310,m1,8,8.0,0.0147059,1,68

614,391,m2,5,1.0,0.98,49,50
614,2635,m1,5,1.0,0.02,1,50
614,3877,m1,9,8.0,0.12,6,50
614,1280,m1,9,8.0,0.26,13,50
614,391,m2,9,8.0,0.04,2,50
614,391,m2,1,5.0,0.865854,71,82
614,4287,m1,1,5.0,0.0121951,1,82
614,2635,m1,1,5.0,0.097561,8,82
614,391,m2,4,5.0,0.907895,69,76
614,3060,m1,4,5.0,0.0263158,2,76
614,391,m2,1,3.0,0.938776,92,98
614,391,m2,4,8.0,0.6,12,20
614,4178,m1,4,8.0,0.05,1,20
614,391,m2,8,4.0,0.892857,25,28
614,1280,m1,8,4.0,0.285714,8,28
614,391,m2,5,5.0,0.763158,29,38
614,391,m2,7,7.0,0.328125,21,64
614,3310,m1,7,7.0,0.375,24,64
614,1280,m1,7,7.0,0.046875,3,64

615,391,m2,7,8.0,0.0833333,6,72
615,1280,m1,7,8.0,0.166667,12,72
615,3310,m1,7,8.0,0.152778,11,72
615,391,m2,10,2.0,0.5,2,4
615,391,m2,1,6.0,0.785714,55,70
615,2635,m1,1,6.0,0.0142857,1,70
615,391,m2,5,1.0,0.972222,70,72
615,2635,m1,5,1.0,0.0277778,2,72
615,3877,m1,10,9.0,0.220588,15,68
615,1280,m1,10,9.0,0.0441176,3,68
615,391,m2,4,6.0,0.818182,54,66
615,1280,m1,9,8.0,0.321429,18,56
615,3877,m1,9,8.0,0.0714286,4,56
615,391,m2,9,8.0,0.0714286,4,56
615,2578,m1,9,8.0,0.0178571,1,56
615,391,m2,9,6.0,0.75,6,8
615,1280,m1,9,6.0,0.625,5,8

616,391,m2,4,7.0,0.581395,50,86
616,4220,m1,4,7.0,0.151163,13,86

617,391,m2,4,5.0,0.893939,59,66
617,3060,m1,4,5.0,0.0151515,1,66
617,391,m2,3,7.0,0.769231,20,26
617,4203,m1,3,7.0,0.0769231,2,26
617,391,m2,4,7.0,0.515625,33,64
617,4220,m1,4,7.0,0.140625,9,64
617,4203,m1,4,7.0,0.046875,3,64
617,391,m2,1,1.0,1.0,88,88
617,391,m2,1,8.0,0.152778,11,72

618,391,m2,8,6.0,0.672414,39,58
618,1280,m1,8,6.0,0.206897,12,58
618,3310,m1,8,6.0,0.0172414,1,58
618,391,m2,2,6.0,0.7,42,60
618,4203,m1,2,6.0,0.0333333,2,60
618,1280,m1,10,8.0,0.342105,26,76
618,3877,m1,10,8.0,0.0526316,4,76
618,391,m2,1,8.0,0.125,1,8
618,391,m2,10,2.0,0.859375,55,64
618,2578,m1,10,2.0,0.015625,1,64
618,391,m2,3,7.0,0.818182,36,44
618,4203,m1,3,7.0,0.136364,6,44

619,391,m2,1,3.0,1.0,82,82
619,391,m2,2,5.0,0.541667,13,24
619,2635,m1,2,5.0,0.0833333,2,24
619,391,m2,7,3.0,0.814286,57,70
619,1280,m1,7,3.0,0.1,7,70
619,391,m2,2,6.0,0.597222,43,72
619,391,m2,8,6.0,0.722222,26,36
619,1280,m1,8,6.0,0.138889,5,36
619,3310,m1,8,6.0,0.0277778,1,36

620,391,m2,4,8.0,0.375,24,64
620,4220,m1,4,8.0,0.03125,2,64
620,4178,m1,4,8.0,0.03125,2,64
620,391,m2,4,1.0,1.0,62,62
620,391,m2,4,4.0,0.691176,47,68
620,3060,m1,4,4.0,0.0588235,4,68
620,391,m2,8,2.0,1.0,40,40
620,1280,m1,8,2.0,0.025,1,40
620,4327,m1,8,2.0,0.025,1,40
620,391,m2,9,3.0,0.75641,59,78
620,1280,m1,9,3.0,0.153846,12,78
620,4322,m1,9,3.0,0.0128205,1,78
620,2578,m1,9,3.0,0.0128205,1,78
620,391,m2,3,7.0,0.666667,12,18
620,4203,m1,3,7.0,0.222222,4,18
620,391,m2,7,7.0,0.310811,23,74
620,3310,m1,7,7.0,0.27027,20,74
620,1280,m1,7,7.0,0.0810811,6,74
620,4328,m1,7,7.0,0.0135135,1,74
620,391,m2,2,1.0,1.0,30,30
620,2635,m1,2,1.0,0.0333333,1,30
620,2578,m1,5,8.0,0.0694444,5,72
620,4178,m1,5,8.0,0.111111,8,72
620,391,m2,5,8.0,0.0555556,4,72

621,391,m2,6,4.0,1.0,46,46
621,1280,m1,6,4.0,0.0869565,4,46
621,391,m2,2,9.0,0.130952,11,84

622,391,m2,5,5.0,0.916667,55,60
622,3060,m1,5,5.0,0.0166667,1,60
622,391,m2,9,5.0,0.671429,47,70
622,1280,m1,9,5.0,0.0285714,2,70
622,391,m2,2,8.0,0.40625,13,32
622,391,m2,4,1.0,1.0,70,70
622,391,m2,5,6.0,0.861702,81,94
622,4220,m1,5,6.0,0.0319149,3,94
622,391,m2,2,6.0,0.605263,46,76
622,391,m2,3,5.0,0.881579,67,76
622,391,m2,7,1.0,0.978261,45,46
622,391,m2,8,2.0,0.972222,70,72
622,1280,m1,8,2.0,0.0277778,2,72
622,4327,m1,8,2.0,0.0694444,5,72
622,391,m2,1,8.0,0.216667,13,60

623,1280,m1,9,7.0,0.541667,39,72
623,391,m2,9,7.0,0.25,18,72
623,391,m2,4,8.0,0.526316,20,38
623,4178,m1,4,8.0,0.0263158,1,38
623,4220,m1,4,8.0,0.0526316,2,38
623,391,m2,1,3.0,1.0,18,18
623,391,m2,7,5.0,0.945946,70,74
623,1280,m1,7,5.0,0.0945946,7,74
623,3310,m1,7,5.0,0.027027,2,74
623,3310,m1,8,6.0,0.1875,3,16
623,391,m2,8,6.0,0.8125,13,16
623,391,m2,6,2.0,0.985714,69,70

624,391,m2,5,4.0,0.972222,35,36
624,2635,m1,5,4.0,0.0277778,1,36
624,391,m2,9,5.0,0.761905,64,84
624,1280,m1,9,5.0,0.0595238,5,84
624,2578,m1,9,5.0,0.0238095,2,84
624,1280,m1,9,8.0,0.177419,11,62
624,391,m2,9,8.0,0.0483871,3,62

625,391,m2,6,6.0,0.838235,57,68
625,3310,m1,6,6.0,0.279412,19,68
625,1280,m1,6,6.0,0.0294118,2,68
625,391,m2,1,4.0,0.925,37,40

