Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot

600,3042,m1,8.0,3,0.00892857,1,112
600,12745,m2,8.0,3,0.00892857,1,112
600,26782,m1,8.0,3,0.00892857,1,112
600,7668,m1,8.0,3,0.0178571,2,112
600,5986,m1,8.0,3,0.00892857,1,112
600,14322,m1,8.0,3,0.00892857,1,112
600,3701,m1,8.0,3,0.00892857,1,112
600,969,m1,8.0,3,0.0178571,2,112
600,240,m1,8.0,3,0.00892857,1,112
600,26576,m1,8.0,3,0.00892857,1,112
600,24878,m1,8.0,3,0.00892857,1,112

601,20048,m1,2.0,1,0.0166667,3,180
601,12352,m1,2.0,1,0.0111111,2,180
601,14340,m1,2.0,1,0.0277778,5,180
601,19083,m1,2.0,1,0.0222222,4,180
601,1792,m1,2.0,1,0.0111111,2,180
601,20910,m1,2.0,1,0.0277778,5,180
601,969,m1,2.0,1,0.00555556,1,180
601,23303,m1,2.0,1,0.00555556,1,180
601,10439,m1,2.0,1,0.00555556,1,180
601,1666,m1,2.0,1,0.00555556,1,180
601,3701,m1,2.0,1,0.0277778,5,180
601,15978,m1,2.0,1,0.00555556,1,180
601,12278,m1,2.0,1,0.0222222,4,180
601,240,m1,2.0,1,0.00555556,1,180
601,7561,m1,2.0,1,0.0111111,2,180
601,8455,m1,2.0,4,0.00961538,1,104
601,10439,m1,2.0,4,0.00961538,1,104
601,4465,m1,2.0,4,0.0192308,2,104
601,3701,m1,2.0,4,0.0384615,4,104
601,14340,m1,2.0,4,0.0192308,2,104
601,14457,m1,2.0,4,0.00961538,1,104
601,16697,m1,2.0,4,0.00961538,1,104
601,18023,m1,2.0,4,0.00961538,1,104
601,19083,m1,2.0,4,0.00961538,1,104
601,12699,m1,2.0,4,0.00961538,1,104
601,12352,m1,2.0,4,0.00961538,1,104
601,12352,m1,6.0,9,0.015873,2,126
601,3801,m1,6.0,9,0.00793651,1,126
601,13330,m1,6.0,9,0.0238095,3,126
601,20208,m1,6.0,9,0.00793651,1,126
601,21751,m1,6.0,9,0.00793651,1,126
601,12477,m1,6.0,9,0.015873,2,126
601,3042,m1,6.0,9,0.00793651,1,126
601,17999,m1,6.0,9,0.00793651,1,126
601,20747,m1,6.0,9,0.00793651,1,126
601,25580,m1,6.0,9,0.00793651,1,126
601,11717,m1,6.0,9,0.00793651,1,126
601,26546,m2,6.0,9,0.00793651,1,126
601,5346,m1,6.0,9,0.0238095,3,126
601,5976,m1,6.0,9,0.00793651,1,126
601,10439,m1,6.0,9,0.00793651,1,126
601,9440,m1,6.0,9,0.00793651,1,126
601,10639,m1,6.0,9,0.00793651,1,126
601,25071,m1,6.0,9,0.00793651,1,126
601,20017,m1,6.0,9,0.00793651,1,126
601,11399,m1,6.0,9,0.00793651,1,126

602,28703,m1,8.0,7,0.00505051,1,198
602,14111,m1,8.0,7,0.00505051,1,198
602,14340,m1,8.0,7,0.020202,4,198
602,25023,m1,8.0,7,0.00505051,1,198
602,240,m1,8.0,7,0.0252525,5,198
602,9910,m1,8.0,7,0.00505051,1,198
602,14322,m1,8.0,7,0.00505051,1,198
602,12699,m1,8.0,7,0.00505051,1,198
602,3701,m1,8.0,7,0.00505051,1,198
602,19033,m1,8.0,7,0.00505051,1,198
602,9440,m1,8.0,7,0.0151515,3,198
602,3042,m1,8.0,7,0.0151515,3,198
602,10439,m1,8.0,7,0.010101,2,198
602,25221,m1,8.0,7,0.00505051,1,198
602,11834,m1,8.0,7,0.00505051,1,198
602,6697,m1,8.0,7,0.00505051,1,198
602,969,m1,8.0,7,0.00505051,1,198
602,12745,m2,8.0,7,0.00505051,1,198
602,9076,m1,8.0,7,0.010101,2,198
602,7714,m1,8.0,7,0.00505051,1,198
602,4054,m1,8.0,7,0.010101,2,198
602,4294,m1,8.0,7,0.00505051,1,198
602,21553,m1,8.0,7,0.00505051,1,198
602,3801,m1,8.0,7,0.00505051,1,198
602,26388,m1,8.0,7,0.00505051,1,198
602,27985,m1,8.0,7,0.00505051,1,198
602,15635,m1,8.0,7,0.00505051,1,198
602,20676,m1,8.0,7,0.00505051,1,198
602,980,m1,8.0,7,0.00505051,1,198
602,5346,m1,8.0,7,0.00505051,1,198
602,12012,m1,5.0,9,0.00632911,1,158
602,17999,m1,5.0,9,0.0126582,2,158
602,4465,m1,5.0,9,0.00632911,1,158
602,6598,m1,5.0,9,0.00632911,1,158
602,12477,m1,5.0,9,0.00632911,1,158
602,14340,m1,5.0,9,0.00632911,1,158
602,6100,m1,5.0,9,0.00632911,1,158
602,11399,m1,5.0,9,0.0126582,2,158
602,3042,m1,5.0,9,0.00632911,1,158
602,3701,m1,5.0,9,0.00632911,1,158
602,14457,m1,5.0,9,0.00632911,1,158
602,28033,m1,5.0,9,0.00632911,1,158
602,28711,m1,5.0,9,0.00632911,1,158
602,7714,m1,5.0,9,0.00632911,1,158
602,26659,m1,5.0,9,0.00632911,1,158
602,20017,m1,5.0,9,0.00632911,1,158
602,5037,m1,5.0,9,0.00632911,1,158
602,240,m1,8.0,2,0.00520833,1,192
602,12745,m2,8.0,2,0.0104167,2,192
602,20968,m1,8.0,2,0.00520833,1,192
602,4054,m1,8.0,2,0.00520833,1,192
602,26576,m1,8.0,2,0.00520833,1,192
602,25221,m1,8.0,2,0.0104167,2,192
602,26782,m1,8.0,2,0.00520833,1,192
602,12699,m1,8.0,2,0.00520833,1,192
602,14111,m1,8.0,2,0.0104167,2,192
602,2597,m1,8.0,2,0.00520833,1,192
602,19083,m1,8.0,2,0.015625,3,192
602,6598,m1,8.0,2,0.00520833,1,192
602,14457,m1,8.0,2,0.015625,3,192
602,19033,m1,8.0,2,0.00520833,1,192
602,27608,m1,8.0,2,0.0104167,2,192
602,21867,m1,8.0,2,0.00520833,1,192
602,25982,m1,8.0,2,0.00520833,1,192
602,28143,m1,8.0,2,0.00520833,1,192
602,969,m1,8.0,2,0.00520833,1,192
602,23303,m1,8.0,2,0.00520833,1,192
602,7668,m1,8.0,2,0.00520833,1,192
602,11115,m1,8.0,2,0.00520833,1,192
602,1666,m1,8.0,2,0.00520833,1,192
602,24796,m1,8.0,2,0.00520833,1,192
602,6106,m1,8.0,2,0.00520833,1,192

603,11399,m1,5.0,5,0.0357143,1,28
603,11834,m1,5.0,5,0.0357143,1,28
603,7561,m1,5.0,5,0.0357143,1,28
603,23796,m1,5.0,5,0.0357143,1,28
603,27331,m1,5.0,5,0.0357143,1,28
603,3701,m1,2.0,3,0.0625,1,16
603,11951,m1,2.0,3,0.0625,1,16
603,6598,m1,2.0,3,0.0625,1,16
603,15978,m1,5.0,1,0.0138889,1,72
603,15992,m1,5.0,1,0.0277778,2,72
603,12914,m1,5.0,1,0.0138889,1,72
603,27358,m1,5.0,1,0.0138889,1,72
603,20910,m1,5.0,1,0.0138889,1,72
603,12745,m2,5.0,1,0.0138889,1,72
603,17549,m1,1.0,7,0.011236,2,178
603,6106,m1,1.0,7,0.0168539,3,178
603,23184,m1,1.0,7,0.00561798,1,178
603,21751,m1,1.0,7,0.00561798,1,178
603,5346,m1,1.0,7,0.00561798,1,178
603,5976,m1,1.0,7,0.00561798,1,178
