Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot


































































































































































































































































857.0,3042.0,1.0,1.0,0.0025,5.0,2000.0
857.0,3042.0,2.0,1.0,0.0055,11.0,2000.0
857.0,3042.0,3.0,1.0,0.0095,19.0,2000.0
857.0,3042.0,4.0,1.0,0.0095,19.0,2000.0
857.0,3042.0,5.0,1.0,0.0185,37.0,2000.0
857.0,3042.0,6.0,1.0,0.0055,11.0,2000.0
857.0,3042.0,7.0,1.0,0.0095,19.0,2000.0
857.0,3042.0,8.0,1.0,0.004,8.0,2000.0
857.0,3042.0,9.0,1.0,0.0015,3.0,2000.0
857.0,3042.0,10.0,1.0,0.0025,5.0,2000.0
857.0,3042.0,1.0,2.0,0.006,12.0,2000.0
857.0,3042.0,2.0,2.0,0.014,28.0,2000.0
857.0,3042.0,3.0,2.0,0.014,28.0,2000.0
857.0,3042.0,4.0,2.0,0.0105,21.0,2000.0
857.0,3042.0,5.0,2.0,0.011,22.0,2000.0
857.0,3042.0,6.0,2.0,0.009,18.0,2000.0
857.0,3042.0,7.0,2.0,0.008,16.0,2000.0
857.0,3042.0,8.0,2.0,0.001,2.0,2000.0
857.0,3042.0,1.0,3.0,0.0075,15.0,2000.0
857.0,3042.0,2.0,3.0,0.0195,39.0,2000.0
857.0,3042.0,3.0,3.0,0.0175,35.0,2000.0
857.0,3042.0,4.0,3.0,0.0075,15.0,2000.0
857.0,3042.0,5.0,3.0,0.0075,15.0,2000.0
857.0,3042.0,6.0,3.0,0.0165,33.0,2000.0
857.0,3042.0,7.0,3.0,0.012,24.0,2000.0
857.0,3042.0,8.0,3.0,0.008,16.0,2000.0
857.0,3042.0,9.0,3.0,0.004,8.0,2000.0
857.0,3042.0,10.0,3.0,0.003,6.0,2000.0
857.0,3042.0,1.0,4.0,0.002,4.0,2000.0
857.0,3042.0,2.0,4.0,0.012,24.0,2000.0
857.0,3042.0,3.0,4.0,0.0115,23.0,2000.0
857.0,3042.0,4.0,4.0,0.0075,15.0,2000.0
857.0,3042.0,5.0,4.0,0.008,16.0,2000.0
857.0,3042.0,6.0,4.0,0.0175,35.0,2000.0
857.0,3042.0,7.0,4.0,0.009,18.0,2000.0
857.0,3042.0,8.0,4.0,0.0075,15.0,2000.0
857.0,3042.0,9.0,4.0,0.012,24.0,2000.0
857.0,3042.0,10.0,4.0,0.0035,7.0,2000.0
857.0,3042.0,1.0,5.0,0.008,16.0,2000.0
857.0,3042.0,2.0,5.0,0.011,22.0,2000.0
857.0,3042.0,3.0,5.0,0.0075,15.0,2000.0
857.0,3042.0,4.0,5.0,0.0045,9.0,2000.0
857.0,3042.0,5.0,5.0,0.009,18.0,2000.0
