D s LL
0.01 0 -111.440911055692
0.02 0 -62.723501324995
0.05 0 -25.1554710292455
0.01 0.01 -115.283415974684
0.02 0.01 -74.423051704374
0.05 0.01 -24.8781431074519
0.01 0.02 -119.825882275758
0.02 0.02 -85.4413911157854
0.05 0.02 -25.3586615682552
0.01 0.03 -125.193727132162
0.02 0.03 -96.2430534476098
0.05 0.03 -26.9360110782323
0.01 0.04 -131.506560384304
0.02 0.04 -107.439249822816
0.05 0.04 -30.0933598141015
0.01 0.05 -138.867649188231
0.02 0.05 -119.500492500016
0.05 0.05 -35.5075739297448
0.01 0.06 -147.351549339835
0.02 0.06 -132.720343352378
0.05 0.06 -44.065862870672
0.01 0.07 -156.992115195126
0.02 0.07 -147.23991767308
0.05 0.07 -56.7207082587437
0.01 0.08 -167.773801718172
0.02 0.08 -163.074167495369
0.05 0.08 -74.0428134699493
0.01 0.09 -179.63012081857
0.02 0.09 -180.124661205047
0.05 0.09 -95.6746052322321
0.01 0.1 -192.452119359248
0.02 0.1 -198.179044963071
0.05 0.1 -120.277489936125
