D s LL
0.01 0 -61.8192015150225
0.02 0 -58.7058352915677
0.05 0 -56.2981684118636
0.01 0.01 -59.2566293693237
0.02 0.01 -54.5013469913532
0.05 0.01 -50.6562650858072
0.01 0.02 -54.6342314657133
0.02 0.02 -49.964541145895
0.05 0.02 -45.3868082997778
0.01 0.03 -50.2287490132205
0.02 0.03 -46.1627692205352
0.05 0.03 -41.1397062834298
0.01 0.04 -49.9567181616986
0.02 0.04 -47.0088156466944
0.05 0.04 -42.7533876481702
0.01 0.05 -58.6454404284053
0.02 0.05 -85.7543592672445
0.05 0.05 -95.6550381519924
0.01 0.06 -87.6707734013508
0.02 0.06 -153.777770718235
0.05 0.06 -162.727811562347
0.01 0.07 -139.015158103883
0.02 0.07 -207.06494342428
0.05 0.07 -213.247359995677
0.01 0.08 -194.128912492197
0.02 0.08 -242.498123165358
0.05 0.08 -265.944542210474
0.01 0.09 -239.56670343453
0.02 0.09 -275.149040189387
0.05 0.09 -306.135714341422
0.01 0.1 -271.587518799908
0.02 0.1 -315.146997875923
0.05 0.1 -336.436608549533
