D s LL
0.01 0 -3554.65095445288
0.02 0 -3517.79014244759
0.05 0 -3339.4341435407
0.01 0.01 -3609.82144647418
0.02 0.01 -3579.42876035483
0.05 0.01 -3405.30261532135
0.01 0.02 -3667.48255804533
0.02 0.02 -3642.26343005809
0.05 0.02 -3471.67851374571
0.01 0.03 -3727.0393945693
0.02 0.03 -3705.82799108082
0.05 0.03 -3538.32409572544
0.01 0.04 -3787.94860862041
0.02 0.04 -3769.73202291423
0.05 0.04 -3605.01955210601
0.01 0.05 -3849.72373010661
0.02 0.05 -3833.65083988316
0.05 0.05 -3671.56141946684
0.01 0.06 -3911.93458461534
0.02 0.06 -3897.31441906042
0.05 0.06 -3737.76089397443
0.01 0.07 -3974.20408040701
0.02 0.07 -3960.4968592069
0.05 0.07 -3803.4423032822
0.01 0.08 -4036.20466372393
0.02 0.08 -4023.00706916675
0.05 0.08 -3868.44183887182
0.01 0.09 -4097.6549022001
0.02 0.09 -4084.68099639441
0.05 0.09 -3932.60655759401
0.01 0.1 -4158.31563902083
0.02 0.1 -4145.3755253517
0.05 0.1 -3995.79362267549
