D s LL
0.01 0 -43446.1334060764
0.02 0 -42858.936688811
0.05 0 -42640.9037608851
0.01 0.01 -257085.8663676
0.02 0.01 -243698.070458907
0.05 0.01 -233404.290814339
0.01 0.02 -488978.142143012
0.02 0.02 -485351.702190599
0.05 0.02 -479575.504472608
0.01 0.03 -637306.780912967
0.02 0.03 -639034.564758374
0.05 0.03 -637481.97353674
0.01 0.04 -725716.538979959
0.02 0.04 -731285.150239499
0.05 0.04 -733249.846160239
0.01 0.05 -767691.933243521
0.02 0.05 -773589.929199486
0.05 0.05 -777693.592338725
0.01 0.06 -783093.5783786
0.02 0.06 -786810.920080355
0.05 0.06 -789653.69701019
0.01 0.07 -789974.696004849
0.02 0.07 -792058.348790692
0.05 0.07 -793332.787484203
0.01 0.08 -794277.193733768
0.02 0.08 -795217.963181607
0.05 0.08 -795598.530828749
0.01 0.09 -797757.642266797
0.02 0.09 -797969.200674715
0.05 0.09 -797956.918450022
0.01 0.1 -801305.898973845
0.02 0.1 -801193.138196894
0.05 0.1 -801009.778246708
