D s LL
0.01 0 -581.079422641622
0.02 0 -581.079422641622
0.05 0 -581.079422641622
0.01 0.01 -581.079422641622
0.02 0.01 -581.079422641622
0.05 0.01 -581.079422641622
0.01 0.02 -581.079422641622
0.02 0.02 -581.079422641622
0.05 0.02 -581.079422641622
0.01 0.03 -581.0584002097
0.02 0.03 -581.079422641622
0.05 0.03 -581.079422641622
0.01 0.04 -580.846218633934
0.02 0.04 -581.079422641622
0.05 0.04 -581.079422641622
0.01 0.05 -580.651094060156
0.02 0.05 -581.079422641622
0.05 0.05 -581.079422641622
0.01 0.06 -580.47473344169
0.02 0.06 -581.012433597381
0.05 0.06 -581.079422641622
0.01 0.07 -580.319021464914
0.02 0.07 -580.806992815233
0.05 0.07 -581.079422641622
0.01 0.08 -580.186039513081
0.02 0.08 -580.619307700998
0.05 0.08 -581.079422641622
0.01 0.09 -580.078086658533
0.02 0.09 -580.451159595396
0.05 0.09 -581.079422641622
0.01 0.1 -579.997702891639
0.02 0.1 -580.304515549643
0.05 0.1 -581.079422641622
