Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot

600.0,3310.0,5.0,5.0,0.0128205,1.0,78.0
600.0,3310.0,5.0,7.0,0.102564,8.0,78.0
600.0,3310.0,5.0,8.0,0.0645161,4.0,62.0
600.0,2578.0,5.0,9.0,0.0333333,2.0,60.0
600.0,1280.0,6.0,4.0,0.0125,1.0,80.0
600.0,2578.0,6.0,4.0,0.0125,1.0,80.0
600.0,3310.0,6.0,6.0,0.276316,21.0,76.0
600.0,3310.0,6.0,7.0,0.397059,27.0,68.0
600.0,3310.0,6.0,8.0,0.148936,14.0,94.0
600.0,3310.0,6.0,9.0,0.0119048,1.0,84.0
600.0,2578.0,6.0,10.0,0.0740741,4.0,54.0
600.0,1280.0,7.0,4.0,0.233333,14.0,60.0
600.0,2578.0,7.0,4.0,0.0666667,4.0,60.0
600.0,1280.0,7.0,5.0,0.0348837,3.0,86.0
600.0,2578.0,7.0,5.0,0.0232558,2.0,86.0
600.0,1280.0,7.0,6.0,0.0757576,5.0,66.0
600.0,3310.0,7.0,6.0,0.0757576,5.0,66.0
600.0,3310.0,7.0,7.0,0.558824,38.0,68.0
600.0,1280.0,7.0,7.0,0.102941,7.0,68.0
600.0,2578.0,7.0,7.0,0.0294118,2.0,68.0
600.0,2578.0,7.0,8.0,0.170732,14.0,82.0
600.0,1280.0,7.0,8.0,0.0243902,2.0,82.0
600.0,3310.0,7.0,8.0,0.121951,10.0,82.0
600.0,1280.0,7.0,9.0,0.0857143,6.0,70.0
600.0,2578.0,7.0,9.0,0.0428571,3.0,70.0
600.0,2578.0,7.0,10.0,0.0795455,7.0,88.0
600.0,2578.0,8.0,2.0,0.0294118,2.0,68.0
600.0,1280.0,8.0,4.0,0.166667,14.0,84.0
600.0,2578.0,8.0,4.0,0.0119048,1.0,84.0
600.0,2578.0,8.0,5.0,0.0106383,1.0,94.0
600.0,1280.0,8.0,5.0,0.0106383,1.0,94.0
600.0,1280.0,8.0,6.0,0.0416667,2.0,48.0
600.0,1280.0,8.0,7.0,0.276316,21.0,76.0
600.0,3310.0,8.0,7.0,0.0263158,2.0,76.0
600.0,1280.0,8.0,8.0,0.0454545,3.0,66.0
600.0,2578.0,8.0,8.0,0.0606061,4.0,66.0
600.0,2578.0,9.0,2.0,0.222222,16.0,72.0
600.0,2578.0,9.0,3.0,0.0121951,1.0,82.0
600.0,1280.0,9.0,4.0,0.0166667,1.0,60.0
600.0,1280.0,9.0,5.0,0.0571429,4.0,70.0
600.0,1280.0,9.0,6.0,0.114286,8.0,70.0
600.0,1280.0,9.0,7.0,0.367647,25.0,68.0
600.0,2578.0,9.0,7.0,0.0294118,2.0,68.0
600.0,1280.0,9.0,8.0,0.111111,8.0,72.0
600.0,2578.0,9.0,8.0,0.0138889,1.0,72.0
600.0,1280.0,9.0,9.0,0.0517241,3.0,58.0
600.0,2578.0,10.0,1.0,0.0227273,2.0,88.0
600.0,2578.0,10.0,2.0,0.0319149,3.0,94.0
600.0,2578.0,10.0,3.0,0.046875,3.0,64.0
600.0,2578.0,10.0,4.0,0.21875,14.0,64.0
600.0,2578.0,10.0,5.0,0.0581395,5.0,86.0
600.0,1280.0,10.0,6.0,0.181818,16.0,88.0
600.0,1280.0,10.0,7.0,0.344444,31.0,90.0
600.0,2578.0,10.0,7.0,0.166667,15.0,90.0
600.0,1280.0,10.0,8.0,0.405405,30.0,74.0
600.0,2578.0,10.0,8.0,0.0405405,3.0,74.0
600.0,1280.0,10.0,9.0,0.484848,32.0,66.0

601.0,3310.0,5.0,6.0,0.0238095,1.0,42.0
601.0,3310.0,5.0,7.0,0.0595238,5.0,84.0
601.0,3310.0,5.0,8.0,0.078125,5.0,64.0
601.0,2578.0,5.0,9.0,0.0326087,3.0,92.0
601.0,3310.0,6.0,5.0,0.0121951,1.0,82.0
601.0,3310.0,6.0,6.0,0.269231,21.0,78.0
601.0,3310.0,6.0,7.0,0.352941,24.0,68.0
601.0,2578.0,6.0,7.0,0.0147059,1.0,68.0
601.0,3310.0,6.0,8.0,0.185714,13.0,70.0
601.0,3310.0,6.0,9.0,0.0131579,1.0,76.0
601.0,2578.0,6.0,10.0,0.0930233,8.0,86.0
601.0,1280.0,7.0,4.0,0.402778,29.0,72.0
601.0,2578.0,7.0,4.0,0.0833333,6.0,72.0
601.0,1280.0,7.0,5.0,0.0185185,1.0,54.0
601.0,2578.0,7.0,5.0,0.0185185,1.0,54.0
601.0,3310.0,7.0,6.0,0.109375,7.0,64.0
601.0,1280.0,7.0,6.0,0.09375,6.0,64.0
601.0,3310.0,7.0,7.0,0.528571,37.0,70.0
601.0,1280.0,7.0,7.0,0.114286,8.0,70.0
601.0,2578.0,7.0,7.0,0.0142857,1.0,70.0
601.0,2578.0,7.0,8.0,0.162791,14.0,86.0
601.0,3310.0,7.0,8.0,0.0930233,8.0,86.0
601.0,2578.0,7.0,9.0,0.0483871,3.0,62.0
601.0,1280.0,7.0,9.0,0.0483871,3.0,62.0
601.0,2578.0,7.0,10.0,0.0625,5.0,80.0
601.0,2578.0,8.0,2.0,0.0111111,1.0,90.0
601.0,1280.0,8.0,4.0,0.228571,16.0,70.0
601.0,2578.0,8.0,5.0,0.0384615,4.0,104.0
601.0,1280.0,8.0,5.0,0.0288462,3.0,104.0
601.0,1280.0,8.0,6.0,0.0862069,5.0,58.0
601.0,3310.0,8.0,7.0,0.0384615,2.0,52.0
601.0,1280.0,8.0,7.0,0.269231,14.0,52.0
